ACS2,Business_closures_2,Business_closures_3,Healthcare_restrictions_2,Healthcare_restrictions_3,Mask_mandates_2,Mask_mandates_3,Mask_mandates_4,Number_of_infections,School_closures_2,School_closures_3,School_closures_4,School_closures_5,Transit_2
0.0005414548062118229,-3.765477547309532e-05,1.7485982773136718e-06,-5.7758518403749586e-05,-5.689371475553883e-05,-1.2732219225654758e-05,3.382917512460954e-05,3.306455504077288e-06,-5.906451141175993e-06,1.177811859037322e-05,-5.900881587046209e-05,-7.539917137808891e-05,-3.374761776273539e-05,-5.060037574112899e-05
-3.765477547309539e-05,0.0013514178331609486,0.0007581799727155611,8.265366607028699e-05,6.189489525828137e-05,2.251906920585879e-05,9.892190211391705e-06,2.8687851893192102e-05,-3.258533271248045e-05,2.366052527912387e-05,9.549565048738662e-05,0.0001303802523449956,8.037510781349846e-05,8.362437457862045e-05
1.7485982773135397e-06,0.0007581799727155638,0.0016980174964564465,8.865897033383732e-05,0.0001580128185861499,6.814766317471741e-05,9.348025239000129e-05,7.047309323388425e-05,8.502596404777985e-06,3.180560426661277e-05,6.996073520499495e-05,0.00012558844718317872,0.00021286776957590254,0.00010900560920397865
-5.775851840374899e-05,8.265366607028519e-05,8.865897033383534e-05,0.0015540992343936095,0.0007555540846334234,-4.2329070275167685e-05,4.1243194202203836e-05,2.651982584842597e-05,-0.00020302635545481261,2.9346213851174392e-05,6.464558969504239e-05,-7.981340070013973e-05,-5.2743378176789966e-05,3.0049848156873432e-05
-5.689371475553806e-05,6.189489525828196e-05,0.00015801281858615103,0.0007555540846334232,0.0017909592062692991,-3.7322262530302144e-05,2.8470306734880314e-05,-3.220139110498883e-05,-0.00016454256864332546,-9.562249292837254e-06,0.0001936533424872112,-3.433632380742721e-05,0.00014572276246147683,5.625541692314707e-05
-1.2732219225654873e-05,2.251906920586897e-05,6.814766317472917e-05,-4.232907027516837e-05,-3.732226253029994e-05,0.0019750167668071855,0.0008043221139108683,0.0011076880976832806,2.956580325038247e-05,-4.926500889467669e-05,-7.766503785452554e-05,0.00047848988936726513,0.00047532315736752845,4.9537686510437634e-08
3.382917512460937e-05,9.892190211393768e-06,9.348025239000376e-05,4.124319420220227e-05,2.847030673488113e-05,0.0008043221139108662,0.0015181686456213197,0.0008685820336113247,-2.752035926443488e-05,-3.6105085712788525e-05,-6.363583522224406e-05,-3.826421966016459e-06,-4.2510701275481876e-05,-1.2554225463664788e-05
3.3064555040771227e-06,2.868785189320134e-05,7.047309323389494e-05,2.6519825848424238e-05,-3.2201391104986646e-05,0.0011076880976832787,0.0008685820336113243,0.0022550628999180897,-2.8665656243349524e-06,-6.57693576719566e-05,-7.498372266844894e-05,0.0005378681206351605,0.0005275017095914655,-1.248565055015479e-05
-5.906451141173116e-06,-3.258533271247882e-05,8.502596404779035e-06,-0.00020302635545481256,-0.00016454256864332565,2.956580325038252e-05,-2.752035926443504e-05,-2.866565624335005e-06,0.0002862888111358414,-3.924896117237665e-05,-2.704396666109193e-06,-5.9287976238897355e-06,4.734102690374839e-05,-1.345644678281797e-06
1.1778118590372472e-05,2.366052527913606e-05,3.180560426662715e-05,2.9346213851174494e-05,-9.562249292836109e-06,-4.926500889467739e-05,-3.6105085712789406e-05,-6.576935767195714e-05,-3.9248961172376277e-05,0.0017784278429809836,0.0009285002276942938,0.0009227257396365354,0.000748248233562032,-2.5444485976208544e-05
-5.9008815870462344e-05,9.549565048739949e-05,6.996073520500887e-05,6.464558969504131e-05,0.00019365334248720966,-7.766503785452562e-05,-6.36358352222445e-05,-7.498372266844884e-05,-2.704396666109192e-06,0.0009285002276942937,0.0018066182654656877,0.0009535185252795033,0.0009227991504621839,-4.744822711528396e-06
-7.539917137808969e-05,0.00013038025234501677,0.00012558844718320238,-7.981340070014225e-05,-3.4336323807427253e-05,0.0004784898893672671,-3.82642196601544e-06,0.0005378681206351627,-5.928797623889004e-06,0.0009227257396365338,0.0009535185252795021,0.0028096837993438965,0.0011401100490721875,9.187927425148123e-05
-3.374761776273592e-05,8.037510781351979e-05,0.00021286776957592568,-5.274337817679137e-05,0.00014572276246147803,0.0004753231573675255,-4.251070127548332e-05,0.0005275017095914625,4.734102690374851e-05,0.0007482482335620309,0.000922799150462183,0.0011401100490721853,0.0028370167385172716,2.3006816221305794e-05
-5.060037574112899e-05,8.362437457862006e-05,0.00010900560920397766,3.004984815687346e-05,5.6255416923145994e-05,4.953768651011683e-08,-1.2554225463665226e-05,-1.2485650550156218e-05,-1.3456446782819495e-06,-2.5444485976210228e-05,-4.744822711530436e-06,9.187927425147904e-05,2.3006816221304127e-05,0.0009121943841637991
